Fly,Light,Value,Genotype
32,Off,1.035943757,UAS-KCR1GS
33,On,2.388132135,UAS-KCR1GS
33,Off,0.132402757,UAS-KCR1GS
34,On,2.545016003,UAS-KCR1GS
34,Off,3.317368429,UAS-KCR1GS
35,On,2.2696907,UAS-KCR1GS
35,Off,0.533561084,UAS-KCR1GS
36,On,0.361553092,UAS-KCR1GS
36,Off,0.71530254,UAS-KCR1GS
37,On,1.292994528,UAS-KCR1GS
37,Off,4.512530929,UAS-KCR1GS
38,On,2.859898989,UAS-KCR1GS
38,Off,0.566028041,UAS-KCR1GS
39,On,0.803034138,UAS-KCR1GS
39,Off,0.711251444,UAS-KCR1GS
40,On,1.157753502,UAS-KCR1GS
40,Off,0.063742294,UAS-KCR1GS
41,On,1.033642914,UAS-KCR1GS
41,Off,0.183384332,UAS-KCR1GS
42,On,3.022746278,UAS-KCR1GS
42,Off,0.53445514,UAS-KCR1GS
43,On,1.954844825,UAS-KCR1GS
43,Off,0.223994041,UAS-KCR1GS
44,On,0.912196105,UAS-KCR1GS
44,Off,1.230398614,UAS-KCR1GS
45,On,1.70118344,UAS-KCR1GS
45,Off,0.917163519,UAS-KCR1GS
47,On,3.532031993,UAS-KCR1GS
47,Off,1.319616165,UAS-KCR1GS
48,On,1.23217884,UAS-KCR1GS
48,Off,0.146554779,UAS-KCR1GS
49,On,0.776225928,UAS-KCR1GS
49,Off,0.018477369,UAS-KCR1GS
50,On,0.838701619,UAS-KCR1GS
50,Off,1.66359421,UAS-KCR1GS
51,On,0.021843999,UAS-KCR1GS
51,Off,0.482797149,UAS-KCR1GS
52,On,1.974292219,UAS-KCR1GS
52,Off,0.174467017,UAS-KCR1GS
53,On,0.236012432,UAS-KCR1GS
53,Off,0.884950765,UAS-KCR1GS
54,On,0.565736139,UAS-KCR1GS
54,Off,2.547842144,UAS-KCR1GS
55,On,1.604645252,UAS-KCR1GS
55,Off,2.068411243,UAS-KCR1GS
56,On,3.006956344,UAS-KCR1GS
56,Off,0.954866999,UAS-KCR1GS
57,On,0.697299717,UAS-KCR1GS
57,Off,0.873576434,UAS-KCR1GS
58,On,0.647882886,UAS-KCR1GS
58,Off,0.621220457,UAS-KCR1GS
59,On,1.311773881,UAS-KCR1GS
59,Off,1.802071173,UAS-KCR1GS
60,On,0.55492039,UAS-KCR1GS
60,Off,0.162485755,UAS-KCR1GS
61,On,0.8698889,UAS-KCR1GS
61,Off,0.239943796,UAS-KCR1GS
62,On,0.875862248,UAS-KCR1GS
62,Off,0.625498679,UAS-KCR1GS
63,On,0.748782523,UAS-KCR1GS
63,Off,0.592294989,UAS-KCR1GS
64,On,3.795019594,UAS-KCR1GS
64,Off,1.540523079,UAS-KCR1GS
65,On,1.36844499,UAS-KCR1GS
65,Off,0.4336423,UAS-KCR1GS
66,On,0.086642965,UAS-KCR1GS
66,Off,0.427574608,UAS-KCR1GS
67,On,1.899416201,UAS-KCR1GS
67,Off,0.200339275,UAS-KCR1GS
68,On,0.129975566,UAS-KCR1GS
68,Off,0.052973358,UAS-KCR1GS
69,On,0.933588834,UAS-KCR1GS
69,Off,0.847749542,UAS-KCR1GS
70,On,2.169873146,UAS-KCR1GS
70,Off,1.669666071,UAS-KCR1GS
71,On,0.595606317,UAS-KCR1GS
71,Off,0.729680574,UAS-KCR1GS
72,On,0.968592608,UAS-KCR1GS
72,Off,0.967637127,UAS-KCR1GS
73,On,0.106110618,UAS-KCR1GS
73,Off,0.446670601,UAS-KCR1GS
74,On,0.998813854,UAS-KCR1GS
74,Off,1.092750841,UAS-KCR1GS
75,On,0.41093629,UAS-KCR1GS
75,Off,0.618263697,UAS-KCR1GS
76,On,0.703953315,UAS-KCR1GS
76,Off,0.711926395,UAS-KCR1GS
0,On,4.161224301,UAS-KCR1OPT
0,Off,3.328000063,UAS-KCR1OPT
1,On,1.573677657,UAS-KCR1OPT
1,Off,0.288921414,UAS-KCR1OPT
2,On,0.443527705,UAS-KCR1OPT
2,Off,0.154085252,UAS-KCR1OPT
3,On,2.735316173,UAS-KCR1OPT
3,Off,4.776796671,UAS-KCR1OPT
4,On,1.056953406,UAS-KCR1OPT
4,Off,3.390015173,UAS-KCR1OPT
5,On,0.62479721,UAS-KCR1OPT
5,Off,0.258729297,UAS-KCR1OPT
6,On,1.089944975,UAS-KCR1OPT
6,Off,0.291435641,UAS-KCR1OPT
7,On,4.194296269,UAS-KCR1OPT
7,Off,1.777710069,UAS-KCR1OPT
8,On,1.062387296,UAS-KCR1OPT
8,Off,0.711000683,UAS-KCR1OPT
9,On,2.324393248,UAS-KCR1OPT
9,Off,0.040941161,UAS-KCR1OPT
10,On,3.391744692,UAS-KCR1OPT
10,Off,0.528953789,UAS-KCR1OPT
11,On,1.304010482,UAS-KCR1OPT
11,Off,0.34610789,UAS-KCR1OPT
12,On,2.16764487,UAS-KCR1OPT
12,Off,0.367970481,UAS-KCR1OPT
13,On,0.62594218,UAS-KCR1OPT
13,Off,0.316672707,UAS-KCR1OPT
14,On,0.631961996,UAS-KCR1OPT
14,Off,1.308656156,UAS-KCR1OPT
15,On,0.556693953,UAS-KCR1OPT
15,Off,0.221341421,UAS-KCR1OPT
16,On,1.03267318,UAS-KCR1OPT
16,Off,0.213090656,UAS-KCR1OPT
17,On,0.212043201,UAS-KCR1OPT
17,Off,0.666585505,UAS-KCR1OPT
18,On,0.545861935,UAS-KCR1OPT
18,Off,0.419752397,UAS-KCR1OPT
19,On,0.524220318,UAS-KCR1OPT
19,Off,0.430909147,UAS-KCR1OPT
20,On,1.522822294,UAS-KCR1OPT
20,Off,0.223460539,UAS-KCR1OPT
21,On,0.876341727,UAS-KCR1OPT
21,Off,0.142375922,UAS-KCR1OPT
23,On,1.80996405,UAS-KCR1OPT
23,Off,0.427116406,UAS-KCR1OPT
24,On,0.771881118,UAS-KCR1OPT
24,Off,0.113982317,UAS-KCR1OPT
25,On,2.218893023,UAS-KCR1OPT
25,Off,0.08778057,UAS-KCR1OPT
26,On,3.959341033,UAS-KCR1OPT
26,Off,1.285847484,UAS-KCR1OPT
27,On,1.446659388,UAS-KCR1OPT
27,Off,0.320319974,UAS-KCR1OPT
28,On,1.304062728,UAS-KCR1OPT
28,Off,0.313664707,UAS-KCR1OPT
29,On,0.289874488,UAS-KCR1OPT
29,Off,0.728727528,UAS-KCR1OPT
30,On,1.209984111,UAS-KCR1OPT
